id,label,Americas,Africa_Europe,Asia_Australia,ratioAmericas,ratioAfrica_Europe,ratioAsia_Australia,ratioMax,total
@zanelowe,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@johnlegend,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@kasvilovic,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@motivation,Americas,1,0,0,1.0,0.0,0.0,1.0,1
#chinhat,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
#pohjoispohjanmaa,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@_pauljoyce,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@flavioms13,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@zafarbilalnadee,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
#たてゆう,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@katielseaman,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@chandar82956962,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@thezone_bloem,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@feelcoppa,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@casimiro,Americas,1,0,0,1.0,0.0,0.0,1.0,1
#poll,Americas,1,1,0,0.5,0.5,0.0,0.5,2
@alejandrachule,Americas,1,0,0,1.0,0.0,0.0,1.0,1
#customerrelations,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@p1vocxtdmuq3tue,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@emmavigeland,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@jimi4_,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@netvoibro,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@edjavier67,Americas,1,0,0,1.0,0.0,0.0,1.0,1
#vcscroot,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@rockyjensen,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@mspr723,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
#oxygen,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
#tuerkiyem,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
#falklands,Americas,1,0,0,1.0,0.0,0.0,1.0,1
#spiritfilledworship,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@nancycarrow,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@maxfostercnn,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@ale_tuitera,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@masaomix2001,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@izmarggc,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@rikkischmitt,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@playmaplem,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
#metturdam,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@snapchat,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@inthewind_17_76,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@shweta15108211,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@askthechief01,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@gmb,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@evandrodeassis,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@hellasjournal,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@salutelazio,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@resenhacabral,Americas,1,0,0,1.0,0.0,0.0,1.0,1
#swagturystore,Africa_Europe,0,2,0,0.0,1.0,0.0,1.0,2
@exhaustedfolife,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@0fficialc2n,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@patrickqueen_,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@mukudoly,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
#fitnessmotivation,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@hamayun84,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@anagarssen,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@moona_sikander,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@ballard_hoops,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@aemet_sinobas,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@bedoeldenk,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@cenariobaloes,Americas,1,0,0,1.0,0.0,0.0,1.0,1
#headwobble,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@cbt_walnutcreek,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@tatharahmawidya,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@nancy_trini,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@kelotercero1,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@aranganathan72,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@daveweigel,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@maxpradera,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@garystriewski,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@coachsatt64,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@f9cf3f4f2285465,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@introwertism,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@wearesouth_mbb,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@jerseyken2,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@bilderbergu,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
#fenerbahçe,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@burnyourcosmos,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@_lamboglia,Americas,2,0,0,1.0,0.0,0.0,1.0,2
@natbonavides,Americas,2,0,0,1.0,0.0,0.0,1.0,2
#台湾恋しい,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@sergsagan,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@snb19692,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
#bbh,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@connollyfrank1,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@carlon2020,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@kfalorifi,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@enriquedavalos,Americas,1,0,0,1.0,0.0,0.0,1.0,1
#bbs,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@bsp_13,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@loud_questions,Americas,1,0,0,1.0,0.0,0.0,1.0,1
#bonitofindesemana,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@mal_6666,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@jon_british,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@nabilariduan,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@bandanarana2014,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
#gpthrows,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@wazza87ni,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@cheston,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@filhodogil,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@eskalokal,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@mtothewildd,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@nrhnsshhera,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@niallmcinerney_,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
#latergram,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@yoga_and_more,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@laryssawalker3,Americas,2,0,0,1.0,0.0,0.0,1.0,2
@ornithorrinca,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@suavearnold,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
#knightmare,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@fwbusinesspress,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@rhlsrwtabvp,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@teignbridge,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
#sosyalbilgileryanlızdeğildir,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@xavileida,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@sabri_giannini,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@hardogsnight,Americas,1,0,0,1.0,0.0,0.0,1.0,1
#oatmilk,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@lacolitruche,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@paul_nack,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@clem_jpn,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@averillanena,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@13topbeto,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@myogioffice,Asia_Australia,0,0,2,0.0,0.0,1.0,1.0,2
@theresa47327900,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@profireman25,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@kylehebert,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@lelei,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@ahmednasirlaw,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@diegosehinkman,Americas,1,0,0,1.0,0.0,0.0,1.0,1
#malmingkangenoshi,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@mzshamar23,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@bly_leo,Asia_Australia,0,0,2,0.0,0.0,1.0,1.0,2
@trechopagode,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@opadaai,Americas,1,0,0,1.0,0.0,0.0,1.0,1
#わくぱ,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@pmoindia,Asia_Australia,0,0,13,0.0,0.0,1.0,1.0,13
@_la_lu_derun_63,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@rogerguedes23,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@dunja_lim,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@bellhara,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@troyesivan,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@lynnecampbell5,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@crd_bc,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@mayssounazzam,Africa_Europe,0,2,0,0.0,1.0,0.0,1.0,2
@acmduivel,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@camiladiazdia,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@theurbanstore_,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@shopeeid,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@m7md201227,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@tyasoftball,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@aproctor24,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@jaayjaay44,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@kristiansilvaaa,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@5avannah5ummer5,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@bthedaywalker,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@lucinapshegubj,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@marastrega,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@ayee_anthony24,Americas,1,0,0,1.0,0.0,0.0,1.0,1
#doriagenocida,Americas,2,0,0,1.0,0.0,0.0,1.0,2
@potatouwwu,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@polliannarezen1,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@jillwinebanks,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@justiciafuser,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@vbenvstudies,Americas,1,0,0,1.0,0.0,0.0,1.0,1
#denmark,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@fiorxlle,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@sabireozdemir,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@mattvita11y,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@jurandirbraga1,Americas,1,0,0,1.0,0.0,0.0,1.0,1
#6demarço,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@valerianeryy,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@celicaracing,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@caniaczach,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
#公明,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@disantita,Africa_Europe,0,4,0,0.0,1.0,0.0,1.0,4
@lil_diako,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@velocastjohn,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@hrhospital,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@ltonederland,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@alexgreycosm,Americas,1,0,0,1.0,0.0,0.0,1.0,1
#heartexplosion,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@pombo_miope,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@si122817,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@ferdjvy,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@morrisdiego,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@dhanysty02,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@alcantx,Americas,2,0,0,1.0,0.0,0.0,1.0,2
@crankbrothers,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@awatif_alalawi,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@estacadebares,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@1979laulea,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@alan_ayala_g,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@covey_10,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@najiblehan,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@inouedepart,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@yeankhar,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@aletkiewicz,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@realsusankaren,Americas,1,0,0,1.0,0.0,0.0,1.0,1
#labor,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@m1n4_95,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
#spanish,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@sassiprado,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@omgninpox,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@jovenmaori,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@elva6,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
#rvcamping,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@dynprln,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@azk9201,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
#be_essential,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@barrtecforever,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@canadianlynx1,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@theovalpawffice,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@kayshawins,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@jeeeeerry_,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@moshehogeg,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@ojokulinomekso,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
#snkrs,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@sho_zc33s,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@ozo_chukwu,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@qc8fq3wmbkuda2a,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
#mzansi,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
#volcandepacaya,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@direalprince,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@turimameko,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@aidaschiton,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@vessoni,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@pr_senegal,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@marceloscf2,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@katineli_6363,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@sunday_gazette,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@vrantanen,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@home,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@rising_hindu,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@hakuuber1,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@cleo,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@ndx1988,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@vamacain,Americas,1,0,0,1.0,0.0,0.0,1.0,1
@nekonyanma,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@shwetaphn,Asia_Australia,0,0,1,0.0,0.0,1.0,1.0,1
@supportbritish,Africa_Europe,0,1,0,0.0,1.0,0.0,1.0,1
@dad_astrologer,Americas,1,0,0,1.0,0.0,0.0,1.0,1
